ID,Grouping,Group,Species,TADL (min),O2 store,Prey W (g),Prey E  (kJ),logPreyE,E feeding (kJ),logE feeding,Eff_max,logEff_max),TL (m),Mc (kg),# dives,MXD (m),Depth (m),DT_max (min),DT_max-TADL,DT_max-TADL+25,log of that,DT_med (min),BTM_max (min),BTM_med (min),BTM_max/DT,BTM_med/DT,FE_max,FE_med,FE/DT max,FE/DT med,ST_max (min),ST_med (min),log FE max
bw13_191a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,28,136.69,83.09,10.47,-12.13,12.87,1.11,5.38,6.90,3.96,0.71,0.56,5,2,0.87,0.48,6.17,1.85,0.70
bw13_193a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,32,120.39,77.33,10.55,-12.05,12.95,1.11,6.21,7.71,3.97,0.76,0.61,5,3,0.73,0.47,2.60,1.48,0.70
bw13_207a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,30,135.61,81.31,7.99,-14.61,10.39,1.02,4.73,5.45,2.94,0.75,0.58,4,2,0.74,0.57,2.21,1.07,0.60
bw13_211a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,28,330.95,312.87,15.87,-6.73,18.27,1.26,12.60,8.11,5.71,0.59,0.45,5,3,0.36,0.25,6.83,2.81,0.70
bw13_214b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,304.28,253.44,16.95,-5.65,19.35,1.29,11.15,9.95,2.88,0.59,0.31,8,3,0.47,0.32,3.91,3.76,0.90
bw13_214c,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,6,322.38,308.63,14.99,-7.61,17.39,1.24,12.76,10.49,8.34,0.70,0.65,8,6.5,0.54,0.51,4.61,4.13,0.90
bw13_217a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,23,165.79,119.13,11.45,-11.15,13.85,1.14,8.66,8.52,5.68,0.77,0.69,7,5,0.69,0.63,2.77,2.16,0.85
bw13_259a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,22,42.85,30.80,7.31,-15.29,9.71,0.99,2.45,3.19,2.22,0.64,0.49,2,1,1.06,0.50,,,0.30
bw140722-2e,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,3,185.06,182.30,9.19,-13.41,11.59,1.06,8.94,5.58,5.54,0.62,0.61,4,4,0.45,0.45,6.22,4.33,0.60
bw140806-2,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,206.97,161.34,12.29,-10.32,14.69,1.17,10.45,4.10,3.84,0.45,0.38,3,1.5,0.33,0.14,80.40,4.29,0.48
bw140819-3b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,5,44.55,35.84,2.68,-19.92,5.08,0.71,1.47,1.42,1.41,0.62,0.57,2,1,1.06,0.75,1.13,0.78,0.30
bw140820-3b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,11,81.31,52.81,6.60,-16.00,9.00,0.95,2.87,4.46,2.21,0.77,0.58,3,1,0.70,0.53,1.89,0.86,0.48
bw14_211a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,90.92,80.88,8.18,-14.42,10.58,1.02,4.10,3.80,3.80,0.46,0.46,3,1,1.20,0.53,1.85,1.43,0.48
bw14_211b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,18,239.19,189.11,11.76,-10.84,14.16,1.15,8.96,7.26,5.02,0.76,0.56,5,3.5,0.52,0.39,4.67,2.15,0.70
bw14_212a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,29,214.25,102.02,15.19,-7.41,17.59,1.25,9.50,8.61,4.77,0.81,0.51,5,3,0.56,0.28,18.07,2.47,0.70
bw14_213a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,30,122.61,83.03,7.49,-15.11,9.89,1.00,4.97,4.09,2.50,0.68,0.58,3,2,0.59,0.39,2.11,1.35,0.48
bw14_217a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,35,163.07,76.75,9.80,-12.80,12.20,1.09,5.83,7.83,2.48,0.82,0.52,4,2,0.93,0.36,8.01,1.99,0.60
bw14_218a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,16,220.18,110.87,14.38,-8.22,16.78,1.22,9.07,8.67,4.48,0.72,0.58,5,3,0.46,0.31,15.71,2.24,0.70
bw14_218b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,6,217.04,204.83,9.57,-13.03,11.97,1.08,8.65,5.66,4.35,0.60,0.52,4,3.5,0.46,0.41,3.12,2.38,0.60
bw14_251a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,74,97.96,39.22,8.51,-14.09,10.91,1.04,2.08,6.27,2.94,0.82,0.61,4,1,1.58,0.60,9.00,0.92,0.60
bw14_256a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,180.98,137.17,14.53,-8.07,16.93,1.23,8.96,6.24,2.00,0.43,0.23,3,2,0.23,0.21,2.42,2.15,0.48
bw14_261a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,242.24,221.49,19.11,-3.49,21.51,1.33,17.78,15.14,8.09,0.79,0.46,8,3.5,0.42,0.21,3.19,3.14,0.90
bw14_262a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,63,137.00,46.53,5.31,-17.29,7.71,0.89,1.57,2.86,2.05,0.64,0.56,2,1,1.52,0.64,3.21,1.17,0.30
bw14_262b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,17,135.50,63.12,9.80,-12.80,12.20,1.09,5.37,6.50,3.08,0.74,0.55,4,1,1.32,0.40,3.24,0.79,0.60
bw150823-6,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,30,119.32,69.37,15.03,-7.57,17.43,1.24,7.52,12.50,4.73,0.83,0.57,6,2,0.57,0.29,5.63,1.87,0.78
bw15_076a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,2,99.36,90.72,24.46,1.86,26.86,1.43,22.11,,,,,1,1,0.05,0.05,7.69,4.77,0.00
bw15_232a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,11,193.54,168.04,22.08,-0.52,24.48,1.39,8.09,19.01,4.84,0.86,0.55,8,3,0.58,0.42,3.62,2.11,0.90
bw160523,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,307,71.57,43.60,12.90,-9.70,15.30,1.18,4.05,8.00,3.17,0.89,0.62,5,2,1.19,0.52,95.59,0.92,0.70
bw160716,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,267,251.19,170.11,15.53,-7.07,17.93,1.25,9.76,10.97,6.28,0.84,0.67,10,6,0.83,0.66,114.73,2.61,1.00
bw160717,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,213,250.24,173.34,19.59,-3.01,21.99,1.34,10.28,14.68,5.63,0.81,0.57,7,4,0.58,0.37,68.18,3.24,0.85
bw160725-3,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,1,82.30,82.30,9.34,-13.27,11.74,1.07,9.34,2.17,2.17,0.23,0.23,2,2,0.21,0.21,1.67,1.67,0.30
bw160727-10,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,49,154.14,133.87,10.65,-11.95,13.05,1.12,7.95,7.46,5.59,0.86,0.69,6,5,0.66,0.58,2.65,1.88,0.78
bw160728-36b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,2,99.49,97.83,8.17,-14.43,10.57,1.02,6.81,4.95,4.95,0.61,0.61,4,2.5,0.49,0.34,2.41,2.21,0.60
bw160815,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,10,338.04,326.19,12.55,-10.05,14.95,1.17,11.03,8.49,6.08,0.68,0.55,7,5,0.56,0.42,5.52,3.87,0.85
bw160817,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,136,335.56,106.22,14.43,-8.18,16.83,1.23,7.89,11.83,4.82,0.86,0.62,7,3,0.83,0.43,11.57,1.97,0.85
bw160918a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,281,368.01,188.82,17.82,-4.78,20.22,1.31,10.26,12.67,6.17,0.84,0.63,9,4,1.11,0.47,374.85,2.94,0.95
bw16_231a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,3,141.81,132.98,9.88,-12.72,12.28,1.09,9.01,1.46,1.39,0.15,0.15,2,2,0.22,0.20,4.32,4.20,0.30
bw16_231b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,21,298.57,140.59,9.77,-12.83,12.17,1.09,8.02,5.96,4.24,0.66,0.52,5,3,0.56,0.31,4.43,2.38,0.70
bw16_264b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,18,218.76,108.90,11.99,-10.61,14.39,1.16,9.62,7.74,5.35,0.79,0.55,6,3.5,0.69,0.38,476.24,2.54,0.78
bw170619-36,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,64,228.05,74.82,16.44,-6.16,18.84,1.28,5.73,12.43,3.09,0.79,0.63,7,3,0.88,0.50,3.41,1.65,0.85
bw170813-41,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,81,150.81,111.32,13.82,-8.79,16.22,1.21,9.61,10.94,6.69,0.85,0.71,8,5,0.74,0.54,8.35,2.48,0.90
bw170813-42,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,32,210.15,127.28,13.42,-9.19,15.82,1.20,8.92,10.48,6.22,0.79,0.68,7,4.5,0.57,0.53,4.76,2.66,0.85
bw170813-44,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,151,226.82,125.96,13.21,-9.39,15.61,1.19,7.16,9.18,4.10,0.85,0.54,5,2,1.31,0.38,18.16,2.10,0.70
bw170814-30,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,12,170.03,132.72,12.70,-9.90,15.10,1.18,8.90,6.27,4.35,0.68,0.47,5,3.5,0.54,0.38,2.95,2.25,0.70
bw170814-40,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,207,253.42,102.27,11.44,-11.17,13.84,1.14,5.98,8.12,4.27,0.93,0.67,6,3,1.19,0.60,105.19,2.13,0.78
bw170814-50,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,44,222.08,126.71,9.87,-12.73,12.27,1.09,7.65,6.65,4.48,0.73,0.57,5,4,0.63,0.47,3.36,2.35,0.70
bw170814-51,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,58,90.04,66.82,13.06,-9.54,15.46,1.19,8.41,8.97,5.92,0.80,0.67,7,5,0.62,0.55,3.52,2.28,0.85
bw170815-21,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,20,182.47,133.74,9.77,-12.83,12.17,1.09,6.58,5.75,3.20,0.65,0.46,4,3,0.53,0.41,3.57,1.98,0.60
bw170815-28,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,118,178.37,99.01,9.78,-12.82,12.18,1.09,5.26,6.49,2.84,0.87,0.55,5,2,1.19,0.54,55.33,1.39,0.70
bw170815-42,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,8,224.17,157.41,11.23,-11.37,13.63,1.13,7.75,8.00,4.25,0.71,0.54,5,4,0.53,0.47,3.70,2.93,0.70
bw170815-43,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,63,142.16,104.70,7.58,-15.02,9.98,1.00,5.64,4.86,2.98,0.71,0.50,4,3,0.69,0.51,14.48,2.38,0.60
bw170816-23,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,125.71,122.27,7.70,-14.90,10.10,1.00,7.07,5.32,4.25,0.69,0.61,5,4,0.65,0.57,2.56,2.32,0.70
bw170816-27,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,21,159.32,119.00,10.76,-11.84,13.16,1.12,8.63,7.49,5.78,0.76,0.68,5,4,0.51,0.47,3.07,2.34,0.70
bw170816-41,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,75,140.37,86.53,9.14,-13.46,11.54,1.06,6.88,6.41,4.53,0.86,0.64,5,4,1.04,0.56,49.24,2.55,0.70
bw170816-42,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,21,154.61,99.15,10.85,-11.75,13.25,1.12,7.55,7.10,3.25,0.70,0.49,5,3,0.63,0.34,3.81,2.16,0.70
bw170816-44,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,82,120.09,75.33,11.05,-11.55,13.45,1.13,5.12,8.22,3.92,0.88,0.62,7,2,1.35,0.58,6.07,1.28,0.85
bw170816-51,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,21,101.46,85.49,12.61,-9.99,15.01,1.18,9.39,9.18,5.35,0.73,0.59,6,4,0.49,0.41,4.52,2.83,0.78
mn09_122b,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,93,307.10,19.34,11.62,-7.78,17.22,1.24,0.62,6.99,0.86,0.84,0.51,11,1,2.70,1.72,3.37,1.16,1.04
mn09_152a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,187,148.36,35.87,7.52,-11.88,13.12,1.12,1.31,5.14,2.16,0.85,0.62,9,2,2.40,1.42,,,0.95
mn10_133a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,104,204.45,73.77,8.44,-10.96,14.04,1.15,3.99,6.74,2.47,0.84,0.64,9,4,1.80,1.02,32.14,2.33,0.95
mn10_139a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,243,164.08,60.31,7.21,-12.19,12.81,1.11,2.59,5.63,2.28,0.84,0.67,8,3,2.54,1.25,5.36,1.05,0.90
mn10_144a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,267,120.40,66.53,5.87,-13.53,11.47,1.06,2.78,3.50,1.84,0.80,0.66,9,5,3.06,1.82,7.97,1.04,0.95
mn10_151a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,125,139.36,90.49,7.30,-12.10,12.90,1.11,3.58,5.19,2.38,0.84,0.64,9,4,1.91,1.29,6.03,1.84,0.95
mn10_155a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,59,388.16,274.60,12.41,-6.99,18.01,1.26,7.92,7.52,4.15,0.73,0.53,13,7,1.41,0.97,50.25,4.42,1.11
mn12_262a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,34,165.76,148.26,10.02,-9.38,15.62,1.19,7.03,6.79,4.81,0.77,0.67,13,10,1.58,1.28,3.33,2.29,1.11
mn12_262b,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,47,176.71,143.45,7.45,-11.95,13.05,1.12,5.85,5.20,3.49,0.70,0.60,11,8,1.62,1.36,2.58,1.96,1.04
mn12_263a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,16,148.10,130.98,10.93,-8.47,16.53,1.22,7.78,7.42,5.19,0.72,0.65,13,10,1.39,1.26,3.13,2.33,1.11
mn12_264a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,9,167.59,153.95,10.88,-8.52,16.48,1.22,9.33,7.76,6.64,0.78,0.68,14,11,1.38,1.20,7.05,2.81,1.15
mn12_264b,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,16,130.21,123.61,9.20,-10.20,14.80,1.17,7.48,7.06,5.33,0.78,0.71,12,10,1.45,1.30,4.76,2.71,1.08
mn12_265a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,23,144.05,140.38,9.09,-10.31,14.69,1.17,6.66,6.74,4.44,0.74,0.66,11,8,1.40,1.21,2.82,2.55,1.04
mn12_289a,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,22,96.83,39.76,4.59,-14.81,10.19,1.01,2.35,,,,,1,1,1.36,0.43,3.74,1.15,0.00
mn12_289b,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,19,58.14,38.83,6.24,-13.16,11.84,1.07,2.45,1.32,1.32,0.59,0.59,2,1,1.26,0.41,2.20,0.86,0.30
mn140716-4,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,2,100.00,90.25,7.56,-11.84,13.16,1.12,5.74,2.68,2.68,0.35,0.35,2,1.5,0.26,0.26,3.53,2.49,0.30
mn140721-3,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,4,100.87,96.82,6.39,-13.01,11.99,1.08,5.80,4.01,3.06,0.64,0.52,7,5,1.10,0.86,2.55,2.05,0.85
mn151011-6,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,3,150.50,140.55,10.91,-8.49,16.51,1.22,9.75,4.56,3.10,0.45,0.42,4,3,0.44,0.37,4.58,3.45,0.60
mn151031-3,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,18,93.61,84.74,6.88,-12.52,12.48,1.10,4.84,5.43,3.11,0.79,0.66,12,6,1.74,1.33,2.08,1.70,1.08
mn151031-4,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,98,88.21,25.72,5.15,-14.25,10.75,1.03,1.22,3.75,2.00,0.78,0.58,9,1,2.14,1.43,3.39,0.35,0.95
mn151103-3,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,20,110.76,101.84,6.05,-13.35,11.65,1.07,5.18,4.06,2.47,0.68,0.49,10,6,1.65,1.10,4.40,2.83,1.00
mn151103-4,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,4,97.52,95.88,5.70,-13.70,11.30,1.05,4.94,3.99,3.16,0.70,0.64,11,8.5,1.93,1.72,8.27,2.00,1.04
mn151103-7,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,100,106.33,24.81,10.20,-9.21,15.80,1.20,1.20,5.87,1.98,0.79,0.63,13,2,2.34,1.45,12.37,0.56,1.11
mn160419-8,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,117,96.00,32.46,5.68,-13.73,11.28,1.05,1.60,3.61,1.42,0.89,0.49,5,1,3.19,0.88,2.26,0.41,0.70
mn160429-37,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,42,141.34,104.09,6.31,-13.10,11.91,1.08,4.15,3.05,1.44,0.71,0.40,5,2,1.70,0.55,5.17,2.22,0.70
mn160725-36b,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,63,69.67,20.41,3.89,-15.51,9.49,0.98,0.75,1.63,0.56,0.66,0.44,4,1,2.29,1.51,7.33,0.15,0.60
mn160727-11,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,79,172.16,78.46,6.21,-13.20,11.81,1.07,3.86,3.61,1.99,0.79,0.50,7,3,2.47,0.99,7.86,1.78,0.85
mn161006-11,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,47,27.62,19.74,2.77,-16.64,8.37,0.92,1.23,,,,,1,1,2.21,0.82,4.70,0.78,0.00
mn161105-36,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,15,59.40,49.26,4.11,-15.29,9.71,0.99,3.11,2.57,1.53,0.81,0.49,5,3,1.40,0.89,2.27,1.36,0.70
mn161106-36,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,94,54.98,27.81,5.09,-14.31,10.69,1.03,2.29,2.92,1.18,0.79,0.51,7,3,2.38,1.40,16.67,0.80,0.85
mn161107-36b,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,44,56.08,31.17,4.06,-15.34,9.66,0.98,1.48,1.68,0.57,0.68,0.35,5,2,3.08,1.34,7.95,1.02,0.70
mn161117-10,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,14,122.11,103.78,5.64,-13.77,11.24,1.05,3.44,3.09,2.41,0.56,0.45,3,1,0.59,0.34,1.90,1.27,0.48
mn170218-31,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,182,128.18,21.66,6.40,-13.00,12.00,1.08,1.09,4.09,1.16,0.83,0.62,7,2,2.61,1.74,24.72,0.52,0.85
mn170220-30,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,12,196.37,172.48,7.17,-12.24,12.77,1.11,4.94,3.25,2.43,0.56,0.48,5,4,0.84,0.79,7.67,5.42,0.70
mn170322-30,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,22,340.08,268.53,9.46,-9.94,15.06,1.18,8.33,7.50,5.50,0.79,0.70,15,11.5,1.63,1.50,8.28,4.96,1.18
mn170410-20,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,76,26.80,18.67,9.98,-9.42,15.58,1.19,1.91,7.00,1.40,0.86,0.58,7,2,1.81,1.04,5.16,0.21,0.85
